Wavelength data table
Sample Name	800.00nm(Abs)	750.00nm(Abs)	700.00nm(Abs)	650.00nm(Abs)	600.00nm(Abs)	550.00nm(Abs)	500.00nm(Abs)	450.00nm(Abs)	400.00nm(Abs)	350.00nm(Abs)	300.00nm(Abs)	250.00nm(Abs)	
'8	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.001	

Sample:	'8
564.00	0.000
563.00	0.000
562.00	0.000
561.00	0.000
560.00	0.000
559.00	0.000
558.00	0.000
557.00	0.000
556.00	0.000
555.00	0.000
554.00	0.000
553.00	0.000
552.00	0.000
551.00	0.000
550.00	0.000
549.00	0.000
548.00	0.000
547.00	0.000
546.00	0.000
545.00	0.000
544.00	0.000
543.00	0.000
542.00	0.000
541.00	0.000
540.00	0.000
539.00	0.000
538.00	0.000
537.00	0.000
536.00	0.000
535.00	0.000
534.00	0.000
533.00	0.000
532.00	-0.001
531.00	-0.001
530.00	0.000
529.00	0.000
528.00	0.000
527.00	0.000
526.00	0.000
525.00	0.000
524.00	0.000
523.00	0.000
522.00	0.000
521.00	0.000
520.00	0.000
519.00	0.000
518.00	0.000
517.00	0.000
516.00	0.000
515.00	0.000
514.00	0.000
513.00	0.000
512.00	0.000
511.00	0.000
510.00	0.000
509.00	0.000
508.00	0.000
507.00	0.000
506.00	0.000
505.00	0.000
504.00	0.000
503.00	0.000
502.00	0.000
501.00	0.000
500.00	0.000
499.00	0.000
498.00	0.000
497.00	0.000
496.00	0.000
495.00	0.000
494.00	0.000
493.00	0.000
492.00	0.000
491.00	0.000
490.00	0.000
489.00	0.000
488.00	0.000
487.00	0.000
486.00	0.000
485.00	0.000
484.00	0.000
483.00	0.001
482.00	0.001
481.00	0.000
480.00	0.000
479.00	0.000
478.00	0.000
477.00	0.000
476.00	0.000
475.00	0.000
474.00	0.000
473.00	0.000
472.00	0.000
471.00	0.000
470.00	0.000
469.00	-0.001
468.00	-0.001
467.00	-0.001
466.00	-0.001
465.00	0.000
464.00	0.000
463.00	0.000
462.00	0.000
461.00	0.000
460.00	0.000
459.00	-0.001
458.00	-0.001
457.00	0.000
456.00	0.000
455.00	0.000
454.00	0.000
453.00	0.000
452.00	0.000
451.00	0.000
450.00	0.000
449.00	0.000
448.00	0.000
447.00	0.000
446.00	0.000
445.00	0.000
444.00	0.000
443.00	0.000
442.00	0.000
441.00	0.000
440.00	0.000
439.00	0.000
438.00	0.000
437.00	0.000
436.00	0.000
435.00	0.000
434.00	0.000
433.00	0.000
432.00	0.000
431.00	0.000
430.00	0.000
429.00	0.000
428.00	0.000
427.00	0.000
426.00	0.000
425.00	0.000
424.00	0.000
423.00	0.000
422.00	0.000
421.00	0.000
420.00	0.000
419.00	0.000
418.00	0.000
417.00	0.000
416.00	0.000
415.00	0.000
414.00	0.000
413.00	0.000
412.00	0.000
411.00	0.000
410.00	0.000
409.00	0.000
408.00	0.000
407.00	0.000
406.00	0.000
405.00	0.000
404.00	0.000
403.00	0.000
402.00	0.000
401.00	0.000
400.00	0.000
399.00	0.000
398.00	-0.001
397.00	-0.001
396.00	0.000
395.00	0.000
394.00	0.000
393.00	0.000
392.00	0.000
391.00	0.000
390.00	0.000
389.00	0.000
388.00	0.000
387.00	0.000
386.00	0.000
385.00	0.001
384.00	0.001
383.00	0.001
382.00	0.000
381.00	0.000
380.00	0.000
379.00	0.000
378.00	-0.001
377.00	-0.001
376.00	-0.001
375.00	0.000
374.00	0.000
373.00	0.000
372.00	0.000
371.00	0.000
370.00	0.000
369.00	0.000
368.00	-0.001
367.00	-0.001
366.00	-0.001
365.00	0.000
364.00	0.000
363.00	0.000
362.00	0.000
361.00	0.000
360.00	0.000
359.00	0.000
358.00	0.000
357.00	-0.001
356.00	0.000
355.00	0.000
354.00	0.000
353.00	0.000
352.00	0.000
351.00	0.000
350.00	0.000
349.00	0.000
348.00	0.000
347.00	0.000
346.00	0.000
345.00	0.001
344.00	0.001
343.00	0.001
342.00	0.001
341.00	0.000
340.00	0.000
339.00	0.000
338.00	-0.001
337.00	-0.001
336.00	-0.001
335.00	-0.001
334.00	-0.001
333.00	-0.001
332.00	0.000
331.00	0.000
330.00	0.000
329.00	0.000
328.00	-0.001
327.00	-0.001
326.00	-0.001
325.00	-0.002
324.00	-0.001
323.00	-0.001
322.00	0.000
321.00	0.001
320.00	0.001
319.00	0.001
318.00	0.001
317.00	0.000
316.00	0.000
315.00	0.000
314.00	0.000
313.00	0.000
312.00	0.000
311.00	0.001
310.00	0.001
309.00	0.001
308.00	0.001
307.00	0.001
306.00	0.000
305.00	0.000
304.00	-0.001
303.00	-0.001
302.00	-0.001
301.00	-0.001
300.00	-0.001

